item_no,name,desc,category,detail,specification,unit,price_1,price_2,price_3,price_4,price_5,remark,
SB-2022-79,警戒线（庄）,10米/16米/20米及以上,基础物料,警戒线（庄）,10米/16米/20米及以上,米,/,/,/,/,/,,
SB-2022-80,隔离柱,隔离柱,基础物料,隔离柱,,个,9.53 ,/,10.00 ,10.00 ,10.00 ,,
SB-2022-81,对讲机,对讲机,基础物料,对讲机,,个,14.29 ,/,15.00 ,15.00 ,/,,
SB-2022-82,道旗,5米（含画面）,基础物料,道旗,5米（含画面）,套,142.92 ,/,150.00 ,140.00 ,/,,
SB-2022-83,刀旗,80*240cm，含画面,基础物料,刀旗,80*240cm，含画面,套,/,/,/,/,/,,
SB-2022-84,气拱门,含风机,基础物料,气拱门,含风机,个,285.85 ,/,300.00 ,280.00 ,300.00 ,,
SB-2022-85,气柱,含风机,基础物料,气柱,含风机,个,190.00 ,/,200.00 ,190.00 ,150.00 ,,
SB-2022-86,电视,42寸,基础物料,电视 - 液晶电视,42寸,台,500.00 ,/,600.00 ,500.00 ,/,,
SB-2022-87,电视,37寸,基础物料,电视 - 液晶电视,37寸,台,/,/,900.00 ,600.00 ,350.00 ,,
SB-2022-88,提词器,提词器,基础物料,提词器,,台,470.00 ,400.00 ,500.00 ,/,250.00 ,,
SB-2022-89,PPT翻页器,PPT翻页器,基础物料,PPT翻页器,专业,只,/,400.00 ,/,300.00 ,250.00 ,,
SB-2022-90,点歌系统,点歌系统,基础物料,点歌系统,,套,95.28 ,200.00 ,100.00 ,150.00 ,200.00 ,,
SB-2022-91,泡泡机,泡泡机 300W,基础物料,泡泡机,300W,台,/,100.00 ,100.00 ,150.00 ,150.00 ,,
SB-2022-92,烟雾机,烟雾机 9000（CUBICFT/MIN）,基础物料,烟雾机,9000（CUBICFT/MIN）,台,/,100.00 ,100.00 ,200.00 ,250.00 ,,
SB-2022-93,薄雾机,薄雾机,基础物料,薄雾机,,台,190.00 ,/,200.00 ,200.00 ,250.00 ,,
SB-2022-94,彩虹机,彩虹机,基础物料,彩虹机,,台,/,/,400.00 ,/,/,,
SB-2022-95,泡沫机,泡沫机,基础物料,泡沫机,,台,/,/,300.00 ,280.00 ,/,,
SB-2022-96,雪花机,雪花机,基础物料,雪花机,,台,/,/,/,/,/,,
SB-2022-97,干冰机,干冰机,基础物料,干冰机,,台,/,/,400.00 ,350.00 ,/,,
SB-2022-98,电子礼炮,电子礼炮,基础物料,电子礼炮,,门,/,/,/,/,/,,
SB-2022-99,小钢炮,小钢炮,基础物料,小钢炮,,门,/,/,/,/,/,,
SB-2022-100,皇家礼炮,皇家礼炮,基础物料,皇家礼炮,,门,/,/,/,/,/,,
SB-2022-101,冷焰火,冷焰火,基础物料,冷焰火,,个,/,/,300.00 ,/,/,,
SB-2022-102,小启动球,小启动球,基础物料,小启动球,,个,/,/,800.00 ,/,/,,
SB-2022-103,大启动球,大启动球,基础物料,大启动球,,个,/,/,2000.00 ,/,/,,
SB-2022-104,户外烤火器,户外烤火器,基础物料,户外烤火器,,个,/,/,/,/,/,含燃气,
SB-2022-105,彩烟,彩烟,基础物料,彩烟,,盆,/,/,/,/,/,,
